"ISBN","Grocery-Title","Book-Price","Image-URL-M","Image-URL-S","Image-URL-L"
"BB39","desi eggs","Rs.400 per dozen","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAoHCBYWFRgWFhYYGRgZGBoZGRocGBkcGBgcGhgZGRgaGBkcIS4lHB4rHxgYJjgmKy80NTU1GiQ7QDs0Py40NTEBDAwMEA8QHhISHjQrISQ0NDQ0NDQ0NDExNDQ0NjQ0MTE0NDE0NDQ0NDQ0NDQ0MTQ0NDQ0NDQ0NDQ0NDQ0NDQ0NP/AABEIAOEA4QMBIgACEQEDEQH/xAAcAAACAgMBAQAAAAAAAAAAAAAABQQGAQMHAgj/xABCEAACAQIDBAcGBAUDAQkAAAABAgADEQQSIQUxQVEGImFxgZGhBxMyQrHBUmJygiMzktHwQ6LxFBUkNGOTssLS4f/EABkBAQADAQEAAAAAAAAAAAAAAAABAgMEBf/EACQRAAMAAgMAAgIDAQEAAAAAAAABAgMREiExBBNBUSJxgaEU/9oADAMBAAIRAxEAPwDs0IQgBCEIAQhCAEwZmLds433aG3xNcD7nwgGt9t01Yqbixte1x6SVR2hSb4XXuvb0MpLrcEXMh12WjTJuSRouY3JPDUxbUp0/EOtHSwwnqcf2PWrNUutR1AOZyHYDfoLXtLnS21VXeQ3ePvMcOT7ZbS0gW6Er9LpF+JPFT9jJ1LbNJvmy/qFvWbaAyhNNOurfCynuIM23gGYTELwDMIQgBCEIAQhCAEIQgBCEIAQhCAEIQgBCEIAQhCAeTKXtfGe8qE/KNF7gd/jH/SDGZEyj4n07hxP28ZRcdtAIQiLnqHco4cix4COSlbYS2MFErO2MXnew+FdB2m+pk/8A7OrVNatUr+RNw8eMX4nAthmWoDnQMN4tY9o+85fkqsk6XS/JZQv2PNm4X3aAfMdW7+XhJkxTcMAw3EAjuIuJ7tOrHMzKU+FGeZkTNoWlwCm27SS6O0aq7nPjqPWRQIASAOKO3nHxKreh/tJtLbqH4lZfIj0laAmTI0hsuFHH023OvjofWSwZRJup1WX4WI7iRGhsu0JVKe16q/MG/UP7SbS29+JP6T9jGiR9CLaW2KR3sR3g/UaSZTrq3wsD3ESAboTEBAMwhCAEIQgBCEIAQhCAE8Mbame4m6Q4zImQHVt/YvHz3ecAq/SLanx1d9uqg9F/vFWCpCimd+tUfVid9zrbsAvM7epM1K6i+Rg5HYNDp2b5mp/3hFemwzAaqTztcHlqNDOfO60+PqXRrCXW/wB9nhtqsNbC3+cZI2hUV8M7cCl9eYIt6xYuyK7mzBUHEk38gPvJGJtUC4ajqotnfgADe1+Jv66Tm+M82n9r/pP9muRR1x/Aw2OP4FO/4f8AiTrTzTQKAo3AADuAtPU9KVqUjlp7bYWgBCZliBZtXafurKoBcjjuUczz7okba1Y/OR3WA8odIMQnvjlOY2Aa24EC1r92+LPengJ43ycmV21L6RdYqf4HGH25VU9Yhx2ix8xNu1drLURVQEEm7g8LbhfiCdfCIfeNfXdJC66iYPPlmXLfTIqKn0f9HsWxuhBIGobgo/CftHtop2BSTJnUHNqrak3troPGZq1yyM7rdAbCkupBB/1m4H8u7XjPV+NVLEuT2Zkk4l3/AJQUgfOxIRrGxVLak/m3Dtm2hiAxK6q4Fyh+IDmPxL+YaTRgNoq9kYBXt8HDTSw4DXSx1+kX1cQxcrVUgh+qy6Gncf6b2u2vO+bXQATbmkt7Gx7aANv81kLDY7Rc5BVrZKg0V+FnHyOTw3HgZPImk0qJTN9PG1F3O3nf6yZS21UG8KfC30i4CZva55a25ngPO0U0ltk7LRgMWXBJW1jbfodL6SbFuyBZCOR177XPreMpnO9dkhCEJYBCEIAQhCAeHYAEncBcyk7QxJqOz8DoByA0H9496RYzKoQb2+LsX/8AftK1LJEAJUcQc1UtTGW7WXLoTrYHTmdY+23iciZQes+ncPmP28ZA6P4bM5c7k3fqO7yGvlOD5N1WRY5/slNrwnjYoYfxKtV+alrL/wARlh6CIuVFCjkP81nsTInbMJEum/QtC0zCXKhFe38eaaBUPXe6r+UD4m7xcW7TGkqXS+4qoeGTTwbrfaY56cw2vTTHPKhOqTYEnlKp5me/eTyFy/J1/wAjyyzZg0ZnCKLljYDthmB7D6Rj0ewpbEKd4QF25DQqoJ7bk+BkxKyUpa9K3Scvkiz7Pwnu0CXud5PMmesRhiTnQhXtvtdXtuVxxHbvElWhaezMTMqV4jiEWKwSEsqLmfqs1I9VW/8AMUNbOFvoL5Qbk6zxh8crdSsLooP8Riercbm3FwSLbgTp1bax3icOrgA7wbqw0ZDzU8PvFmNwmYAVCivcBKlrI54B04NbwJA32tMqhp7RVokYTA2zlghVzoADZlI+YHQ6HTlc9k8UnKVRSQl0tcqdWoC2hLnQodLKety0maBLDJRZslznrElmZiet7snRmv8AN8I0tfhOw2GVFyoLDeeJJ4lmOrHtMvK3rQNoE9016w5L1z+3RB53P7YKs0VMRamzj526v6BonoGPjLUt6kllk2K90Y/m+wjKJ+jX8o/qP0EcSX6SvDMIQkEhCEIATXVcKpY7gLnwmyIukuIyoq3ADtY3IF7a2F4AixmILuznidOwcBNIE9AXkHauKyUyRvbqr3m9z4AH0i7US6f4IEO1MTnqEjVR1V7gdfM/aWTZ2G92irxtdv1Hf/bwlf2Jhs9QE/CnWPf8o89fCWi84fhy6by16wepCq1KjVClNlUIoLFlzKzseqhO8DKLkjXUSWWsCbE24Deba2Ai3ZeKCArV/h1HYuwcgB827I242AC23i2u+dtPxEMnYLE5wbrldGyOt75WGuh4qQQQeUxXx9JDleoikakE6gdoG4d9orqV3Lu1G38Vkpo5Nh/DRmeoptra9geYvraM9nIUGT3YQb9HD5yd5Y2BJ4knfIVN9BP8EoG4uJC2vsxa6ZdzLco3I21B/KeMj1KApFEZ3WhZwCGyhXZ7qjsuoQA2XcL7+E2Yh3oZspZ0KdTOcxWqWComb4mVr311Ft8U9rVIKmnspuMwb0TaopXt3qe5txmkVBOmhdLHXnyPPQyDUfDI1m9yrDfdVuP1WHV8ZzV8VepnSvkddopuA2fUrGyLccWOiDvb7C8u+y9nLQTIupJuzcWP2A4SWPTh3dkzN8WCY79ZneV0EzMTM3MzBmKlMMCrAFSLEEXBHaDvnqEA8hbAAaACwHIchPYExPQgGrFMQlh8TkIve28+C5j5SNj6iFlpoRdLKwHygqCt/AXkldat/lppf97/ANkA8zFtN752IscxANwb8yLbt+6VnunX+Ea6ZcOjf8n9zfaNos2DhylFb72ux7L7h5WjOH6SjMIQkEhCEIASk+0/Z+fCe9C3aiwbiDlYhXsRutcN4GXaR8Vh1qIyMLq6lWHYwIP1gHz/AILaTpqlVk7CWA81Nv8AbNuL2u7hVKDqD5GzDWwBsNRoInx+HahWqUW+Km7Ie3KbA+IsfGQcU+5hv3fcTHLHKWgXvYG3KSqQzAMWub8raa+csdHHo25ge4gzmGGxedAHCvbTrDXT8wsfWbkKj4GdD35l+x+sQnEpJdf9J0dTWoDxntgCLEAjkQCPIzm9DamJT4WFQch1j/SbN6Rhhul9jZ0KnjwPkZp9s/kjRdcThlcAG4KkMjKbMhHFTw5W3ETWuEb5q1U9l1TzKKCYnw3Smi29rd+kd4DFLURXXVWvY9oYqR5gyf4vwhyZr1muymi7qdLrkZWBGoKki3EWMgYCi2dEYELTL1QpOYoHOWhTLDQlRnNhu05RuGnsGOO36RrZC2rVcZEp2zuWF82Uqqi7EGxseAPAm+s3YCnlUp7kU1HDMrq999yNWPMtvmcVhg+XVlZDmR1tmU2INr6EEHUETyuGe4zV3I5KlNL95CkyGnvfpGuyPQDL/ApNomjVGW4QMbpTRdzMFI3myjLffN2Sojp13qIzZHDKuZLgkOCoHVuLEEcbzTh3alnRkc5nqOromcN7xiQSODC9rEcJGXaNVWfeVp0zUfPTVHP4VUI2l7HUgbt0rtL0bGlfGIjBTmZyLhEUu9vxFRuG/Uz3hsUr3y3BXRlZSrrfUZlOovrY8ZowyCjTzMSzPZncKzF2YDWygnKL2HAATOGrUnqFke7hMrLqDlzXGZSAdDuPbLqnv0EyEITQsZUTNwNToBqT2DU+kBMVKRZSo42Da2svzeO4eMh710CKVb/pyWGV6g9435SxBA8AFHgZo2bh81RKOhNwXIFgfmfKOAmcfRR6mZ1Vsg6h1GUBgTxGt7+Qjbohh82asd9yoPaTd/oohLiiX4l/paQLCepiZlQEIQgBCEIATEzCAcU9sOy/d4mniFHVrIVY8A6WHmVI/pM57UN1InfvaZsk4jAVco69Ie+SwuSUBLAd65hPnUVzIbJRIwdWxI56yctSJ6bEsMoJJOgHHulhw2ymOrtbsAufE7pRUkuy0y34aRVkg45rZSQw5MAw9ZIGxEO53B/afS0g47ZVWmM38xBvZQQwHavEdohXLLvG0jYVpNvUofyHT+lr+hEk4GpWpf8Ah8TlGpyNdQT3G6/SIhiha4M9LjiOHrIaRRTst1LpjjE1q0VcDeQpH+5CRHGA6fYd7Z1emedg6+a6yiUNoHerEdxI+k3HGKxu6I55lQG/qWxk9rxhydLodKMO7FUfTgSCubuU6gd++MqWNRtzCcey0juLoe8OvkbH1k7B+/GtKpmHey+jaesfY16iOB1xXB4zJHYNd/b385z7B7YxafFSLDsIv5A6xvhelqXy1AyNycEfWSssshyywJs1F0V6qLwVKjBR2Le5UdgM94DCe7VhmLFnZySSTr8IJJJNhYXvNOG2rTcXV1PcRJq1AeMulPqK6PcxMiYlwexPdV8lMta5Y2A58B6/SeEF/GLuk1e9qS2Y5GKrvYuMpTTh87X/ACwiGLqdRzTIbrEuyox1Z6QIILWGjZsy9oseM6HsjC+7pIvG12/UdW9SZUdkYYVMQq70QA/lsh39hL2HcJexIr9BGYQhKlghCEAIQhACEIQDW6gix1B0PjPmPpnsOpg8TURkYUs5922U5GVusoVt1wDa3ZPqCaq1JWBVlDKd4IBB7wdJGgfN3RfALlNZhqdF7Bz8Y5cieMXiFDuEAVc75VAsFGY2AHAASOKsxs64WichEn4OiztlQFjyHLmeUT4dmdgqgsx0AG8zo2xNmmjTyk9dtXI9FB5CUmdl29FQfoKj1M73Rb9dENs5/wDjx3b5LxHRnBWt7hBwuCwPmDLVXSKsSBLvaKpJlT2j0Uw5Qe5Hu3UWzXZg3Hrg7+8SqYvZtSnUFNluT8JHwsBvIPZcXvunRa7SDVIIsdR6g8xI5tEvGmV3AbKVbF+u3+0dw4+MfYeleeVo2PZwMYYdJldsvMJG2hh5Iq4BHFnVWHaAbd15uw6SaiTPky/FeMp+I2RRRyMhRuaOy9xsSRNtFaifBiX7nQOPNbGMekiWCPyJU9x1H0idKs7MaVTs4ckqa0N6O1sSoNxTfTQq9jf9LgD1k2h0iVQBUo1UsPiC510HErr9ZX1qTalW2427tJqkzPou2yto06oLU3Dhd9r3UncGBtlO/TsioB3rGoCAoFTKrDrZ9aYa/BbpbLyBO8mStgOTSuT85+01YemyLla2ZqjhQOTVHKDvsb+JmiKMf9DsOfdtUYAFzlH6V3nxbN5CWWacJQCIqDcoAm+ZssEIQgBCEIAQhMEwDEh4valGn/MqInewB8t8pnSfpYxY0qDZVBs1QWux4heQ7d+kp4W5udSd5JuT3kzOsnE1jE69OrjpPhD/AKy+tvO0mUNq0X+GrTbudb+V5yRKc2GiDM/uZr/51+ypYolajqd4dx5Md01mpLTidno41Uffzld2js5kvl1HKV5JmnFosPs9CtiHJsStPq67rsASBOhVnCi5NpyvoBicuJN/wNp5S34vFFySTpylcmacc9lpxu6JeL2kvy690S4naDfhhUfwkSoLzz6+dTfSOlYJRoq47mJ4XEAzViUkBmymbY/kcvStY9eFsyKaSZVtYanmbm82UEmrC1b4ZDa3Dv13zbQqTantlUtDKgskhpEpvpPTVZVgr3TjEBaSAkDNVUX8GP8AaV3DYoWtfQAeB1uvbu9Ye0THXelSHygu3j1V9A0q9GuQNCeHH0nXi3MpnDm7ouqVOwzejyt4Xaqr8SnwP2MZ0NoIfmt36TdWmYtM6D0ce9E/qP0Ec7JwuesrEXVLt+7cv1aV7orUBpNYg9fmOIl42FQy08x3ub+G4f52y7fRRLsbQhCULBCEIAQhCAYibpbizSwlZ1NiEIB5FiFv6xzK709plsBiLfKmbwUhj6AyH4SvTkNOtcxhhzEOGqxvhnnJR2yNUM3oJBpPJaNKM0Rv93ImOwoZTJqtPNUi0gsUQOcPiFcc7d/ZLbTxqOLof2/MOyIekGFDAxBgceRoTZ17de+MmL7Z0RN8XsvBaeWivC7VzABrE89x8YyoOhtvM89/DtM6PtlmmsZrw2ymqnXqpxY/RRHC5AbhR46285Hx+01pr27lUcT2CdGL4/F9spV/o8bUxSoEpLuUbv8AOM8UMXFVBCzF31Zj5cgJPppOrRi60M6W0B2yR/1V90XU6cm0aUNIhNnN+kWFxHvXq1UKhjoR1lAGii47OcVI5Go8ufZO1LhQRYgEHQgi4lE6W9FxSBrUhZPmT8P5h+Xnym82n0c942uz1T6EY1qNOvTpJXp1FDA0agzAEbirWuQQQbXiPFUDTbLUR6bcnRk8iRYzpnsS2zda2EY/B/Fpgn5WNqgA7GKn986hi8FTqKVqIrqd6sqsDx3ETTimYcmjkPswpZjVUH4jTG/tbdOyU1AAA3AWHhE+yui+Fw1RqlCitNnFmy3C2Gui3sPCO5ZLS0Q+3szCEJJAQhCAEIQgBIu0KatTqKwurIwYcwVN/SSpqxC3VhzUjzEA+ZMHiAbEbuEdYevKZTqmm7IdAGZe4hiPtHmGxPbMLns6ovaLPRrSYlaIKWIklcTMmjVMeDEWmivjRE9TF2i3EY0k2G8xonkMcdic2g1Jiyj0fDtmdj3DT1jXAYew138TGNNJZdIo3siYbYVIcD5mME2Zb4WI79RJmHpxhTpSrZouij7d2jWoDVCb7n+Xx5RZs93c53N2O7kByAnScXgVdCjgEEaiUyrs00HKfLvU9kclrQ097JFESbREjUlkymJAfpLpCT8OsgUoxw0MIY0Uhi8IroyMLhgQe4ixnqk8y9TSNA577Or4fay0+2pSPcVzD/2rO/TgHR059t0yu737HwWmQfpO/wA658OG1pmYQhLFAhCEAIQhACEIQAmDMzEA+XfaBs00NoYlLWBqFxppZwHBH9R8jEeFxZTTePpOw+2/YGZUxij4bU6vYDf3bnsBJX9wnF2WQ1stLLDhsaCNDJYxXbKiCRuM3pjWHG8zcGqsf18VpPOyeu5J4bu8xE+MY8o32BU0bv8AtIcaRKrbLdRewk7Dm8R0qkb4J7zOjWR5hUjOkkgYIxrTaU0aGCkQdJKAyB+Kn0O+WFmiHpRWC4dyeCyNdk7EFF5LpvK/hcZcCM6VcS3Eo6G9J5No1Imp1pKSvGiNjtKsgbe2utCi7k62IUc2I0A8ZAxu2UpJmdrchxJ5ATn22dsviXzNoi3yryHM9svMNlatJFy9kODartA1CLilSd2PDO7BVHeRmPgZ3mUX2U7AOGwYaotqlc52HFV3Ip8Nf3S8zoXhyN7ZmEISSAhCEAIQhACEIQAhCEAi47BpWR6VRQyOpVlPEEWM+aOmXRepga5pNdkNzSqcHXkfzDcR47rT6ginpDsGjjKLUay5lOoPzK3BlPAwEz5SdZqIlw6Y9CcRgWJYF6JJy1VU5bcBUHyN2bjwlTZZGi+zVGWyK+ViOcXETKMQbjhIa2E9Fwo1I3wlbLrKpgcYG75YMHXExpHTFFrweMFhGVDE3PZK3hqixlSxAEzaNeSHLVpRvaDtMCkKYOrnXuFo32ptpKSFmI7BxPdOXbVx7V6hduO4fhHATSIe9mWS0lpGvD41k3HSM6O3iN6xHaYtNnKZzqmWUdJQNymaK/SWq2igL27zEirJeDwbuwVFLEmwABJPdbeeyRxRLpnl2d2zMxY8zOm+zLoKazLicQpFJCGpof8AUYahiPwggd8Z9CfZhYrWxg7Vo236aGpy/T58p1imgUAAAACwAFgANwA4CWSKN7NgEzCEkqEIQgBCEIAQhCAEIQgBCEIAQhCAaqtJWUqygqRYgi4I5EGc16TeyPD1bvhW9w51yG7Uie74l8NOzhOnwgHy/tzoNjsNc1KDMg+en1081Fx4iVrIDuM+xDFO1OjmFxH87D03PMoM39Q1gnZ8ogEG4jDDbTZd4v3TueO9kuz3vkFWkfyVLgeDhonr+xWl8mKqD9SI3qLSHKZKpo5xR2+B8rekK/SZ7dRbdp/tL0/sWqfLi08aR+zQX2MVeOLT/wBJv/vK8UW+xnJ8XinqNmdix9B4TRlna6HsbHz4r+mkPu0Z4T2RYVTd61d+z+Go9Ev6y2iro4GlIncCfCM9mbBr12y00ZzyUFiO+27xn0VgeguApfDh1Yji5Zz/ALjaWGjRVRlVVUcgAB5CTobOKbA9ktdiGxDLTXTS+Z/6RoPEnunUej/RXDYMfwqYzW1dtXPidFHYLR/CCoWmYQgBCEIAQhCAEIQgBCEIAQhCAEIQgBCEIAQhCAEIQgGITMIAQhCAEIQgBCEIAQhCAEIQgBCEIAQhCAEIQgBCEIAQhCAf/9k=","http://images.amazon.com/images/P/0966986105.01.THUMBZZZ.jpg",""
"BB38","cocomo biscuit","Rs.150 per box","https://www.box.com.pk:8184/assets/product/HyMNDtKq6dlrHpD69LH76BeuS8o1Xq5o_1640862844929.jpg","http://images.amazon.com/images/P/1558531025.01.THUMBZZZ.jpg",""
"BB37","gilete shaving G2","Rs.360 (3 pcs)","https://static-01.daraz.pk/p/5b2727d0b4af4c77937fd67e64f3f54b.jpg","http://images.amazon.com/images/P/0375509038.01.THUMBZZZ.jpg",""
"BB36","gilete shaving cream","Rs.350 per pcs","https://gradeonemart.pk/wp-content/uploads/2020/08/afp-000078289_1.jpg","http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg",""
"BB35","pampers baby drys","Rs.900 (16 pcs)","https://www.fatehpharma.com/wp-content/uploads/2020/06/pamper4-16.jpg","http://images.amazon.com/images/P/0440223571.01.THUMBZZZ.jpg",""
"BB34","colgate max fresh","Rs.200 per pcs","https://cdnprod.mafretailproxy.com/sys-master-root/h7d/h31/9840973905950/37952_3.jpg_480Wx480H","",""
"BB33"," mozzarella cheese","Rs.400 per pcs","https://media.naheed.pk/catalog/product/cache/49dcd5d85f0fa4d590e132d0368d8132/1/0/1014405-1.jpg","http://images.amazon.com/images/P/1414035004.01.THUMBZZZ.jpg",""
"BB32","pure milk","Rs.200 per ltr","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRN6jfgqVv0d3QMaEr-6ebsZOP25ymQoBu0Ew&usqp=CAU","http://images.amazon.com/images/P/0679865691.01.THUMBZZZ.jpg",""
"BB31","nescafe  coffee special","Rs.450 per pcs","http://cdn.shopify.com/s/files/1/0572/4779/3329/products/NestleNescafeClassicCoffee100gm_f0ee756a-3df9-433d-95ae-a2e6a5910604.jpg?v=1639544510","http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg",""
"BB30","blue band makhan","Rs.190 per pcs","https://media.naheed.pk/catalog/product/cache/49dcd5d85f0fa4d590e132d0368d8132/a/-/a-1_4.jpg","http://images.amazon.com/images/P/0060177586.01.THUMBZZZ.jpg",""
"BB29","fresh beef","Rs.1000 per kg","https://pictures.grocerapps.com/original/grocerapp-beef-boneless-cubes--6281d940c7d51.jpeg","http://images.amazon.com/images/P/0380715899.01.THUMBZZZ.jpg",""
"BB28","fresh chicken ","Rs.550 per kg","https://www.healthbenefitstimes.com/9/uploads/2018/04/Know-about-Chicken-and-health-benefits-702x459.png","http://images.amazon.com/images/P/0245542957.01.THUMBZZZ.jpg",""
"BB27","common  sugar","Rs.200 per kg","http://cdn.shopify.com/s/files/1/0027/9222/6925/products/2kg_black_white_sugar_800x.jpg?v=1568171184","http://images.amazon.com/images/P/0812523873.01.THUMBZZZ.jpg",""
"BB26","normal chana","Rs.450 per kg","https://orbis.pk/wp-content/uploads/2017/04/05774_1.jpeg","http://images.amazon.com/images/P/042518630X.01.THUMBZZZ.jpg",""
"BB25","masoor dal","Rs.170 per kg","https://www.grocers.com.pk/public/photos/1/SPICES%20&%20MASALA%20INGREDIENTS/5ed005c756551.jpg","http://images.amazon.com/images/P/0671888587.01.THUMBZZZ.jpg",""
"BB24","moong dal","Rs.160 per kg","https://shanfoods.com/wp-content/uploads/2021/04/split-dal-moong-thumb.png","http://images.amazon.com/images/P/0553582909.01.THUMBZZZ.jpg",""
"BB23","pure fine flour","Rs.150 per kg","https://www.rehanaproducts.com/storage/files/eQ1I8unv3vkJ0fX8JSwy79crmnY8UlPymUUWrUg9.png","http://images.amazon.com/images/P/038078243X.01.THUMBZZZ.jpg",""
"BB22","purechakki flour ","Rs.125 per kg","http://cdn.shopify.com/s/files/1/0263/3701/7946/products/IMG_9741.jpg?v=1645793740","http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg",""
"BB21","corn flour special","Rs.220 per kg","https://homemadecuisine.biz/wp-content/uploads/2020/06/Gluten-free-cornflour-small-01-scaled.jpg","http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg",""
"BB20","tota rice regular use","Rs.170 per kg","http://cdn.shopify.com/s/files/1/0572/4779/3329/products/ShahenshahTotaRice5kg.jpg?v=1642849038","http://images.amazon.com/images/P/3442353866.01.THUMBZZZ.jpg",""
"BB19","tapal danedar tea strong","Rs.290 per pcs","https://cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-08-17-at-1.40.52-PM.jpg?v=1643781807","http://images.amazon.com/images/P/0425182908.01.THUMBZZZ.jpg",""
"BB18","dalda banaspati ghee","Rs.520 per pcs","http://gomart.pk/image/cache/data/incoming/s/files/1/0446/5021/products/dalda-banaspati-ghee-1kg-gomart-pakistan-452-500x500.jpg","https://www.tazaonline.com/wp-content/uploads/2019/10/pineapple-1.jpg",""
"BB17","meezan cooking oil","Rs.500 per pcs","http://gomart.pk/image/cache/data/incoming/img/p/1/9/3/9/mezan-canola-cooking-oil-1ltr-gomart-pakistan-486-500x500.jpg","http://images.amazon.com/images/P/0060973129.01.THUMBZZZ.jpg",""
"BB16","habib cooking oil","Rs.520 per pcs","https://media.naheed.pk/catalog/product/cache/49dcd5d85f0fa4d590e132d0368d8132/1/0/1039919-1.jpg","http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg",""
"BB15","salt/namak","Rs.90 per pcs","https://www.foodnavigator.com/var/wrbm_gb_food_pharma/storage/images/5/7/9/9/1159975-1-eng-GB/Study-identifies-quick-and-simple-test-for-salt-levels-in-food.jpg","http://images.amazon.com/images/P/0966986105.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0966986105.01.LZZZZZZZ.jpg"
"BB14","black pepper spices","Rs.150 per kg","https://www.shutterstock.com/image-photo/close-black-peper-wooden-spoon-260nw-1746894425.jpg","http://images.amazon.com/images/P/1569871213.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/1569871213.01.LZZZZZZZ.jpg"
"BB13","onion vegetable","Rs.100 per kg","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51rs5iOHcHL._AC_UL320_.jpg","http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg"
"BB12","apple fruit","Rs.240 per kg","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/416gC3zJj0L._AC_UL320_.jpg","http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg"
